,SlideName,ScanName,ROILabel,SegmentLabel,SegmentDisplayName,Sample_ID,AOISurfaceArea,AOINucleiCount,ROICoordinateX,ROICoordinateY,RawReads,TrimmedReads,StitchedReads,AlignedReads,DeduplicatedReads,SequencingSaturation,UMIQ30,RTSQ30,disease_status,pathology,region,LOQ,NormalizationFactor
0,disease3,disease3_scan,7,Geometric Segment,disease3_scan | 007 | Geometric Segment,DSP-1001250007851-H-A02,31797.59253,202,11444,-18819,5521543,5471679,5426943,5182304,519757,90.5867436,0.9939,0.9932,DKD,abnormal,glomerulus,24.24652424,0.5560325629999999
1,disease3,disease3_scan,8,Geometric Segment,disease3_scan | 008 | Geometric Segment,DSP-1001250007851-H-A03,16920.10267,102,13064,-20021,3688649,3661664,3634011,3470622,342783,90.70708544,0.9948,0.9942,DKD,abnormal,glomerulus,19.33864297,0.820809975
2,disease3,disease3_scan,9,Geometric Segment,disease3_scan | 009 | Geometric Segment,DSP-1001250007851-H-A04,14312.32987,98,14221,-18591,2470587,2452568,2432975,2325816,299883,87.8618725,0.9949,0.9943,DKD,abnormal,glomerulus,17.01753289,0.9576116370000001
3,disease3,disease3_scan,10,Geometric Segment,disease3_scan | 010 | Geometric Segment,DSP-1001250007851-H-A05,20032.83995,143,12120,-17683,3703066,3654886,3618022,3459194,392537,89.39967584,0.9925,0.9909,DKD,abnormal,glomerulus,22.33501177,0.718208728
4,disease3,disease3_scan,11,Geometric Segment,disease3_scan | 011 | Geometric Segment,DSP-1001250007851-H-A06,27583.26127,195,12816,-16378,5916477,5856159,5802764,5548026,594119,89.95823021,0.9934,0.9923,DKD,abnormal,glomerulus,24.703837600000004,0.492485985
5,disease3,disease3_scan,12,Geometric Segment,disease3_scan | 012 | Geometric Segment,DSP-1001250007851-H-A07,18164.84254,97,13075,-14941,2723251,2701322,2681044,2561699,257262,90.55312933,0.9944,0.9937,DKD,abnormal,glomerulus,16.31377625,1.077313092
6,disease3,disease3_scan,13,Geometric Segment,disease3_scan | 013 | Geometric Segment,DSP-1001250007851-H-A08,25827.58578,183,13207,-13878,6274410,6227843,6175954,5907459,536785,91.44485298,0.995,0.9943,DKD,abnormal,glomerulus,23.51923359,0.538656546
7,disease3,disease3_scan,14,Geometric Segment,disease3_scan | 014 | Geometric Segment,DSP-1001250007851-H-A09,12021.51145,86,15449,-18484,2873507,2850166,2827703,2701890,281428,90.20611399,0.9944,0.9936,DKD,abnormal,glomerulus,15.17743038,1.013941733
8,disease3,disease3_scan,15,Geometric Segment,disease3_scan | 015 | Geometric Segment,DSP-1001250007851-H-A10,22156.9507,147,17046,-20601,4311045,4274528,4240919,4047813,411528,90.45410104,0.9941,0.9933,DKD,abnormal,glomerulus,20.56740657,0.689480379
9,disease3,disease3_scan,16,Geometric Segment,disease3_scan | 016 | Geometric Segment,DSP-1001250007851-H-A11,26042.70807,195,17029,-22040,4771232,4723805,4681130,4464995,512650,89.25539567,0.9937,0.9929,DKD,abnormal,glomerulus,25.12354217,0.5560325629999999
10,disease3,disease3_scan,17,Geometric Segment,disease3_scan | 017 | Geometric Segment,DSP-1001250007851-H-A12,14519.38306,82,12753,-23855,2891046,2864976,2843198,2718347,281743,90.25463448,0.9939,0.9932,DKD,abnormal,glomerulus,16.11728525,1.013941733
11,disease3,disease3_scan,18,Geometric Segment,disease3_scan | 018 | Geometric Segment,DSP-1001250007851-H-B01,24344.16183,164,17524,-30115,4452245,4417956,4383805,4176468,305363,93.14137025,0.9945,0.9937,DKD,abnormal,glomerulus,18.23379485,0.907211025
12,disease3,disease3_scan,19,Geometric Segment,disease3_scan | 019 | Geometric Segment,DSP-1001250007851-H-B02,19077.45812,141,18095,-31530,3653435,3621399,3591115,3431728,281849,92.2853698,0.9942,0.9935,DKD,abnormal,glomerulus,15.28009236,1.013941733
13,disease3,disease3_scan,20,Geometric Segment,disease3_scan | 020 | Geometric Segment,DSP-1001250007851-H-B03,21760.91911,156,20972,-31310,3197194,3175551,3151313,3006682,257942,91.93223808,0.9948,0.9942,DKD,abnormal,glomerulus,16.33310735,1.077313092
14,disease3,disease3_scan,21,Geometric Segment,disease3_scan | 021 | Geometric Segment,DSP-1001250007851-H-B04,20961.10959,147,22649,-32772,4882585,4836584,4798184,4586350,347716,92.87844451,0.9936,0.9928,DKD,abnormal,glomerulus,19.01745839,0.820809975
15,disease3,disease3_scan,22,Geometric Segment,disease3_scan | 022 | Geometric Segment,DSP-1001250007851-H-B05,19698.456309999998,162,23800,-34566,3882939,3853351,3820903,3648769,295221,92.39697044,0.9948,0.9940000000000001,DKD,abnormal,glomerulus,17.38685082,0.9576116370000001
16,disease3,disease3_scan,23,Geometric Segment,disease3_scan | 023 | Geometric Segment,DSP-1001250007851-H-B06,19074.87601,149,21466,-34989,3276177,3240761,3213371,3067729,289544,91.16213807,0.9931,0.9926,DKD,abnormal,glomerulus,17.44213017,0.9576116370000001
17,disease3,disease3_scan,24,Geometric Segment,disease3_scan | 024 | Geometric Segment,DSP-1001250007851-H-B07,18329.61363,153,20836,-35367,2780291,2752881,2729823,2602394,246222,91.14402054,0.9936,0.9928,DKD,abnormal,glomerulus,15.06591648,1.149133965
18,disease3,disease3_scan,25,Geometric Segment,disease3_scan | 025 | Geometric Segment,DSP-1001250007851-H-B08,21006.45795,159,20460,-36591,4218502,4185983,4153266,3966295,281872,93.31819684,0.9945,0.9938,DKD,abnormal,glomerulus,16.33832162,1.013941733
19,disease3,disease3_scan,26,Geometric Segment,disease3_scan | 026 | Geometric Segment,DSP-1001250007851-H-B09,25569.53586,174,20119,-37041,4400969,4366099,4333565,4088336,313398,92.87888645,0.9944,0.9936,DKD,abnormal,glomerulus,19.96328022,0.907211025
20,disease3,disease3_scan,27,Geometric Segment,disease3_scan | 027 | Geometric Segment,DSP-1001250007851-H-B10,25085.551040000002,182,23721,-38130,4253975,4217827,4184410,3970364,315017,92.59476137,0.9941,0.9933,DKD,abnormal,glomerulus,19.06063231,0.907211025
21,disease3,disease3_scan,28,Geometric Segment,disease3_scan | 028 | Geometric Segment,DSP-1001250007851-H-B11,26709.05462,190,20794,-39244,4432495,4379055,4334663,4135907,339534,92.33988984,0.993,0.9916,DKD,abnormal,glomerulus,19.30707175,0.820809975
22,disease3,disease3_scan,29,Geometric Segment,disease3_scan | 029 | Geometric Segment,DSP-1001250007851-H-B12,22800.21961,162,24822,-40957,2940990,2916751,2894027,2765355,211391,92.8122503,0.9943,0.9936,DKD,abnormal,glomerulus,15.2508356,1.325923805
23,disease3,disease3_scan,30,Geometric Segment,disease3_scan | 030 | Geometric Segment,DSP-1001250007851-H-C01,27694.13075,189,26204,-41318,2796433,2773828,2753266,2632365,399098,85.7283189,0.9943,0.9936,DKD,abnormal,glomerulus,20.31354047,0.718208728
24,disease3,disease3_scan,31,Geometric Segment,disease3_scan | 031 | Geometric Segment,DSP-1001250007851-H-C02,19642.940880000002,154,28339,-43383,1946817,1931555,1916167,1834373,261420,86.57192741,0.9943,0.9935,DKD,abnormal,glomerulus,15.93832727,1.077313092
25,disease3,disease3_scan,32,Geometric Segment,disease3_scan | 032 | Geometric Segment,DSP-1001250007851-H-C03,29678.807389999998,193,26277,-44103,2801068,2775979,2753163,2625099,474411,83.06321018,0.9940000000000001,0.9933,DKD,abnormal,glomerulus,22.86807424,0.6156074810000001
26,disease3,disease3_scan,33,Geometric Segment,disease3_scan | 033 | Geometric Segment,DSP-1001250007851-H-C04,18317.34859,130,29349,-45562,1773282,1757069,1743366,1666863,247088,86.06606281,0.9938,0.9931,DKD,abnormal,glomerulus,11.73815441,1.149133965
27,disease3,disease3_scan,34,Geometric Segment,disease3_scan | 034 | Geometric Segment,DSP-1001250007851-H-C05,16730.80151,130,28612,-46260,1684194,1669504,1652764,1580108,241410,85.66614059999999,0.9945,0.9937,DKD,abnormal,glomerulus,12.45837195,1.149133965
28,disease3,disease3_scan,35,Geometric Segment,disease3_scan | 035 | Geometric Segment,DSP-1001250007851-H-C06,20956.10675,155,26457,-45996,1618777,1598333,1583035,1511756,268794,83.39524221,0.9924,0.9911,DKD,abnormal,glomerulus,15.15753741,1.013941733
29,disease3,disease3_scan,36,Geometric Segment,disease3_scan | 036 | Geometric Segment,DSP-1001250007851-H-C07,17982.80357,122,26588,-46798,1462293,1447082,1434666,1262945,235818,83.87340977,0.9931,0.9922,DKD,abnormal,glomerulus,12.53595571,1.2312149620000001
30,disease3,disease3_scan,37,Geometric Segment,disease3_scan | 037 | Geometric Segment,DSP-1001250007851-H-C08,27578.419810000003,173,26666,-48056,1994845,1979784,1964017,1856885,297237,85.09974459,0.9946,0.9939,DKD,abnormal,glomerulus,15.60882438,0.9576116370000001
31,disease3,disease3_scan,38,Geometric Segment,disease3_scan | 038 | Geometric Segment,DSP-1001250007851-H-C09,22428.87948,130,27506,-53817,1195802,1186754,1177368,1120898,182537,84.73518191,0.9944,0.9937,DKD,abnormal,glomerulus,9.524892727000001,1.436417456
32,disease3,disease3_scan,39,Geometric Segment,disease3_scan | 039 | Geometric Segment,DSP-1001250007851-H-C10,22709.36151,152,25013,-54272,1157923,1149574,1140216,1088847,150692,86.98600857,0.995,0.9943,DKD,abnormal,glomerulus,9.409716006,1.723700947
33,disease3,disease3_scan,40,Geometric Segment,disease3_scan | 040 | Geometric Segment,DSP-1001250007851-H-C11,33264.39413,236,26261,-54657,1518657,1504897,1492944,1429655,232560,84.68646969,0.9939,0.9932,DKD,abnormal,glomerulus,12.97052056,1.2312149620000001
